differential,release_year,genre,type,weeks_on_billboard,peak_billboard_position,spotify_popularity,artist_member_count,artist_gender,artist_birth_year_sum,debut_album_release_year,ave_age_at_top_500,years_between
-137,1971,Blues/Blues ROck,Studio,42,1,27,1,Female,1943,1969,28,2
5,1971,Soul/Gospel/R&B,Studio,48,6,68,1,Male,1939,1961,32,10
8,1971,Hard Rock/Metal,Studio,218,2,58,4,Male,7786,1969,24.5,2
-49,1971,Punk/Post-Punk/New Wave/Power Pop,Studio,43,4,29,4,Male,7779,1965,26.25,6
19,1971,Punk/Post-Punk/New Wave/Power Pop,Studio,16,93,66,1,Male,1947,1967,24,4
-41,1971,Blues/Blues Rock,Studio,62,1,70,5,Male,9712,1964,28.6,7
318,1995,Soul/Gospel/R&B,Studio,65,22,59,1,Male,1974,1995,21,0
-56,1971,Blues/Blues Rock,Live,47,13,46,6,Male,11675,1969,25.16666667,2
350,1971,Funk/Disco,Studio,16,108,57,10,Male,19447,1970,26.3,1
314,1990,Hip-Hop/Rap,Studio,26,19,53,1,Male,1969,1990,21,0
309,1971,Country/Folk/Country Rock/Folk Rock,Studio,3,154,54,1,Male,1946,1971,25,0
-5,1971,Punk/Post-Punk/New Wave/Power Pop,Studio,52,1,62,1,Male,1945,1969,26,2
-28,1971,Blues/Blues Rock,Studio,34,32,34,4,Male,7790,1968,23.5,3
-147,1971,Punk/Post-Punk/New Wave/Power Pop,Studio,45,1,69,1,Male,1940,1968,31,3
64,1971,Hard Rock/Metal,Studio,43,8,58,4,Male,7793,1970,22.75,1
306,1970,Country/Folk/Country Rock/Folk Rock,Studio,11,145,53,1,Male,1934,1967,36,3
-256,1971,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,60,1,Male,1948,1969,23,2
-164,1971,Blues/Blues Rock,Studio,76,7,62,5,Male,9733,1968,24.4,3
300,1993,Hip-Hop/Rap,Studio,29,8,61,4,Male,7890,1990,20.5,3
-139,1971,Blues/Blues Rock,Studio,34,9,68,4,Male,7772,1967,28,4
297,2007,Hip-Hop/Rap,Studio,52,1,87,1,Male,1977,2004,30,3
-41,1971,Hard Rock/Metal,Studio,38,35,51,5,Male,9736,1969,23.8,2
17,1971,Funk/Disco,Studio,31,1,47,10,Male/Female,19466,1967,24.4,4
-7,1972,Blues/Blues Rock,Studio,43,1,61,5,Male,9712,1964,29.6,8
293,2008,Hip-Hop/Rap,Studio,147,1,71,1,Male,1982,1999,26,9
-5,1972,Punk/Post-Punk/New Wave/Power Pop,Studio,72,75,73,1,Male,1947,1967,25,5
31,1972,Soul/Gospel/R&B,Studio,109,3,67,1,Male,1950,1962,22,10
290,1980,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,50,4,Male,7825,1979,23.75,1
287,1994,Punk/Post-Punk/New Wave/Power Pop,Studio,75,5,65,1,Male,1950,1976,44,18
285,1997,Punk/Post-Punk/New Wave/Power Pop,Studio,1,173,62,1,Male,1969,1994,28,3
284,1994,Indie/Alternative Rock,Studio,20,58,69,5,Male,9846,1994,24.8,0
282,1995,Hip-Hop/Rap,Studio,21,4,57,1,Male,1970,1995,25,0
-7,1972,Soul/Gospel/R&B,Soundtrack,46,1,54,1,Male,1942,1970,30,2
85,1972,Punk/Post-Punk/New Wave/Power Pop,Studio,31,29,67,1,Male,1942,1972,30,0
70,1972,Punk/Post-Punk/New Wave/Power Pop,Studio,59,17,71,5,Male,9739,1972,24.2,0
276,2002,Punk/Post-Punk/New Wave/Power Pop,Studio,19,13,50,5,Male,9831,1995,35.8,7
-55,1972,Reggae,Soundtrack,8,140,58,1,Male,1944,1967,28,5
117,1972,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,65,1,Male,1948,1969,24,3
273,1991,Hip-Hop/Rap,Studio,17,26,46,3,Male,5907,1989,22,2
167,1972,Country/Folk/Country Rock/Folk Rock,Studio,49,22,72,4,Male,7788,1972,25,0
106,1972,Singer-Songwriter/Heartland Rock,Studio,61,1,72,1,Male,1947,1969,25,3
53,1972,Punk/Post-Punk/New Wave/Power Pop,Studio,18,163,36,1,Male,1943,1968,29,4
-21,1972,Soul/Gospel/R&B,Studio,67,4,57,1,Male,1946,1967,26,5
265,2001,Electronic,Studio,28,23,74,2,Male,3949,1997,26.5,4
-66,1972,Soul/Gospel/R&B,Studio,35,21,43,1,Male,1950,1962,22,10
-223,1972,Punk/Post-Punk/New Wave/Power Pop,Studio,48,29,53,1,Male,1948,1970,24,2
-158,1972,Punk/Post-Punk/New Wave/Power Pop,Studio,36,4,63,1,Male,1941,1965,31,7
-36,1972,Singer-Songwriter/Heartland Rock,Studio,64.27097902097903,201,48,4,Male,7804,1972,21,0
-281,1972,Punk/Post-Punk/New Wave/Power Pop,Compilation,64.27097902097903,201,27,1,Male,1918,1972,54,0
257,2008,Hip-Hop/Rap,Studio,39,1,78,1,Male,1977,2004,31,4
255,1991,Hip-Hop/Rap,Studio,76,16,57,1,Male,1968,1985,23,6
253,2004,Punk/Post-Punk/New Wave/Power Pop,Studio,101,1,78,3,Male,5916,1990,32,14
-270,1972,Punk/Post-Punk/New Wave/Power Pop,Compilation,13,94,40,4,Male,7778,1964,27.5,8
-183,1972,Soul/Gospel/R&B,Studio,64.27097902097903,201,62,3,Male,5827,1965,29.66666667,7
-99,1972,Blues/Blues Rock,Studio,11,112,38,1,Male,1941,1968,31,4
-52,1972,Punk/Post-Punk/New Wave/Power Pop,Studio,68,1,35,7,Male,13607,1970,28.14285714,2
247,1973,Big Band/Jazz,Studio,47,13,50,1,Male,1940,1962,33,11
-10,1972,Punk/Post-Punk/New Wave/Power Pop,Studio,19,89,53,5,Male,9722,1969,27.6,3
240,1992,Hip-Hop/Rap,Studio,35,10,55,3,Male,5895,1986,27,6
239,1983,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,57,4,Male,7830,1981,25.5,2
-208,1972,Punk/Post-Punk/New Wave/Power Pop,Greatest Hits,180,5,54,2,Male,3882,1964,31,8
-11,1973,Funk/Disco,Studio,89,4,62,1,Male,1950,1962,23,11
236,1995,Indie/Alternative Rock,Studio,1,117,52,5,Male,9827,1992,29.6,3
-12,1973,Punk/Post-Punk/New Wave/Power Pop,Studio,741,1,76,4,Male,7776,1967,29,6
